1011,0011,0000,1
1010,0000,0001,2
0110,0100,1011,3
1010,0001,1101,4
0111,1100,1000,5
1111,1000,1010,6
1000,0000,0100,7
0110,1000,0000,8
0110,1010,1111,9
0011,1111,0110,10
0100,1010,1001,11
0100,1000,0010,12
1110,1101,0111,13
1110,1001,0111,14
0001,1010,0010,15
1110,0000,1010,16
0111,0101,1010,17
0111,0111,1111,18
1101,0001,1011,19
0000,1011,1110,20
1100,0100,1100,21
0100,1100,0010,22
0010,1111,0101,23
0011,0111,0001,24
1011,0011,1000,25
0001,0011,1000,26
1001,0100,0010,27
1110,1110,0110,28
0011,1010,1001,29
0011,1010,0100,30
1000,1100,1100,31
0111,1000,1001,32
0111,1001,0000,33
1101,1100,1011,34
1001,0101,0110,35
0011,1100,1100,36
0000,1100,0011,37
1111,0101,1011,38
1001,1000,0001,39
1100,0010,0101,40
1001,0100,0000,41
1010,0110,1001,42
0010,1111,0000,43
0101,0101,0000,44
0001,1101,1110,45
1001,1000,1111,46
1011,1100,1111,47
0101,1000,1101,48
0000,0010,0011,49
0110,0110,1001,50
